300 2
-1.15647 -0.104424 -1
1.46072 -1.62432 1
-1.60176 -0.468416 1
-0.792948 0.62848 -1
1.23638 -1.47319 -1
-1.79397 -1.78631 1
-0.169138 1.12347 -1
0.768306 -0.229759 -1
-1.52355 0.358547 1
0.314539 0.119597 1
0.380181 -0.552333 1
-0.782858 1.55489 1
-0.0936614 -1.32072 -1
0.438916 0.102988 1
0.475702 0.384785 1
-1.06538 1.31923 -1
-1.71964 -1.60465 1
1.69491 -1.3214 1
-0.0730666 -1.09804 -1
1.30708 -0.836685 -1
-0.571228 1.51311 1
-0.622996 1.25963 -1
0.636584 -1.85469 1
-0.970124 1.11303 -1
0.503856 1.34441 -1
-0.767374 -1.11596 -1
-1.20792 0.449768 -1
-1.56107 0.698421 1
1.12905 0.877847 -1
-1.19859 -0.395249 -1
-0.737368 -0.263966 1
-1.07602 -0.457007 -1
0.131384 -1.3811 -1
0.221591 -1.94168 1
-0.479141 -0.471331 1
-0.778368 0.949631 -1
-0.958221 0.598636 -1
0.209265 1.67836 1
0.743945 1.23914 -1
0.791393 -0.752198 -1
0.583556 -1.97598 1
0.131839 1.37564 -1
0.473787 0.57077 1
0.0740595 -0.397164 1
-0.551383 0.875469 -1
1.20759 0.711249 -1
-1.3885 -1.86843 1
-1.74576 0.742887 1
-1.24953 0.475833 -1
0.801204 0.271324 -1
-1.9955 -1.97716 1
-0.779045 -0.953719 -1
0.621472 1.43022 -1
-1.27536 -0.634582 -1
0.669362 1.51604 1
0.61322 -0.747082 1
1.54006 -1.25494 1
-1.37144 0.013844 -1
1.31583 0.702616 -1
1.61668 -1.23555 1
-0.421915 0.824267 -1
1.4757 0.189588 -1
0.955837 1.72994 1
-1.06752 1.7063 1
0.205772 1.73368 1
-0.0223725 0.210274 1
1.75652 1.19858 1
1.25655 0.377989 -1
0.628804 1.9812 1
1.74341 -0.701834 1
1.49724 0.356627 -1
0.551084 1.03729 -1
1.10169 1.17964 -1
-0.948862 0.417515 -1
-0.117743 -1.33218 -1
1.18196 1.46034 -1
1.49209 0.657658 -1
-0.35007 0.447923 1
0.387596 0.582406 1
0.154226 -1.40663 -1
0.316086 -1.86815 1
0.803641 0.0726027 -1
1.33044 0.0601964 -1
-1.54941 -0.04076 1
0.0413961 -1.806 1
1.25741 -0.461366 -1
0.550626 -0.19151 1
-1.42407 -0.347689 -1
-1.01187 -0.372934 -1
-1.93017 0.870387 1
0.294885 1.25179 -1
0.330729 -0.21303 1
-0.0905544 1.98066 1
-1.76511 -1.70296 1
0.563065 0.389119 1
-1.10959 -1.12085 -1
0.520973 1.69405 1
0.951754 -0.148591 -1
-0.245753 1.40235 -1
1.81065 1.79564 1
1.59634 1.06805 1
-0.665723 0.14697 1
-1.12346 -0.0897951 -1
1.79928 -0.135326 1
1.53727 1.86911 1
-1.26494 -0.167844 -1
1.1209 1.06579 -1
1.61913 -0.969658 1
