700 2
-1.60176 -0.468416 1
-0.792948 0.62848 -1
1.23638 -1.47319 1
-1.79397 -1.78631 1
-0.169138 1.12347 -1
0.768306 -0.229759 -1
-1.52355 0.358547 1
0.314539 0.119597 1
0.380181 -0.552333 1
-0.782858 1.55489 1
-0.0936614 -1.32072 -1
0.438916 0.102988 1
0.475702 0.384785 1
-1.06538 1.31923 1
-1.71964 -1.60465 1
1.69491 -1.3214 1
-0.0730666 -1.09804 -1
1.30708 -0.836685 1
-0.571228 1.51311 1
-0.622996 1.25963 -1
0.636584 -1.85469 1
-0.970124 1.11303 1
0.503856 1.34441 1
-0.767374 -1.11596 -1
-1.20792 0.449768 -1
-1.56107 0.698421 1
1.12905 0.877847 1
-1.19859 -0.395249 -1
-0.737368 -0.263966 -1
-1.07602 -0.457007 -1
0.131384 -1.3811 -1
0.221591 -1.94168 1
-0.479141 -0.471331 1
-0.778368 0.949631 -1
-0.958221 0.598636 -1
0.209265 1.67836 1
0.743945 1.23914 1
0.791393 -0.752198 -1
0.583556 -1.97598 1
0.131839 1.37564 -1
0.473787 0.57077 -1
0.0740595 -0.397164 1
-0.551383 0.875469 -1
1.20759 0.711249 -1
-1.3885 -1.86843 1
-1.74576 0.742887 1
-1.24953 0.475833 -1
0.801204 0.271324 -1
-1.9955 -1.97716 1
-0.779045 -0.953719 -1
0.621472 1.43022 1
-1.27536 -0.634582 1
0.669362 1.51604 1
0.61322 -0.747082 -1
1.54006 -1.25494 1
-1.37144 0.013844 -1
1.31583 0.702616 1
1.61668 -1.23555 1
-0.421915 0.824267 -1
1.4757 0.189588 1
0.955837 1.72994 1
-1.06752 1.7063 1
0.205772 1.73368 1
-0.0223725 0.210274 1
1.75652 1.19858 1
1.25655 0.377989 -1
0.628804 1.9812 1
1.74341 -0.701834 1
1.49724 0.356627 1
0.551084 1.03729 -1
1.10169 1.17964 1
-0.948862 0.417515 -1
-0.117743 -1.33218 -1
1.18196 1.46034 1
1.49209 0.657658 1
-0.35007 0.447923 1
0.387596 0.582406 1
0.154226 -1.40663 1
0.316086 -1.86815 1
0.803641 0.0726027 -1
1.33044 0.0601964 -1
-1.54941 -0.04076 1
0.0413961 -1.806 1
1.25741 -0.461366 -1
0.550626 -0.19151 1
-1.42407 -0.347689 1
-1.01187 -0.372934 -1
-1.93017 0.870387 1
0.294885 1.25179 -1
0.330729 -0.21303 1
-0.0905544 1.98066 1
-1.76511 -1.70296 1
0.563065 0.389119 1
-1.10959 -1.12085 1
0.520973 1.69405 1
0.951754 -0.148591 -1
-0.245753 1.40235 1
1.81065 1.79564 1
1.59634 1.06805 1
-0.665723 0.14697 1
-1.12346 -0.0897951 -1
1.79928 -0.135326 1
1.53727 1.86911 1
-1.26494 -0.167844 -1
1.1209 1.06579 1
1.61913 -0.969658 1
1.04645 1.85402 1
-0.672617 -0.390485 -1
0.243138 0.217793 1
0.488667 -1.23589 -1
-0.0881565 -0.559579 1
0.61552 1.66609 1
-1.15723 0.426169 -1
1.46173 -1.56089 1
-0.505777 -1.20399 -1
0.586081 0.370768 1
0.706216 0.385362 -1
-1.76456 0.243487 1
0.25447 -1.0295 -1
-1.92436 -0.624635 1
-1.96371 1.69477 1
0.405707 1.08274 -1
1.54879 1.73309 1
-1.30774 -0.208074 -1
-0.0491172 1.18093 -1
0.556037 1.86273 1
-1.37865 -0.828444 1
1.52882 -0.535888 1
1.59773 0.990551 1
-0.0967774 -0.908051 -1
1.78656 -1.5107 1
1.46272 0.492778 1
0.874665 1.69816 1
-1.26374 -0.870865 1
-1.33134 -1.18809 1
0.504501 -1.29504 -1
-1.49332 -1.08979 1
1.7877 -1.94454 1
-1.3567 -1.52004 1
-0.152609 0.594181 1
1.66088 -1.59657 1
0.456907 -1.71777 1
-0.425016 -0.0142761 1
-0.25366 -0.827291 -1
-1.02373 1.64956 1
0.264658 -1.23716 -1
-1.86113 -0.272626 1
1.25561 1.01353 1
-0.574468 1.99188 1
-1.85733 0.0941935 1
-1.19621 0.647166 -1
0.799149 -0.689535 -1
1.55737 0.586847 1
-0.634071 -1.79933 1
1.0668 1.21332 1
0.794852 0.727687 -1
1.61675 -0.748241 1
1.00991 -0.808267 -1
1.23748 -1.24375 1
0.364442 -1.78624 1
-1.59418 -1.3709 1
-1.02341 -1.45532 1
0.356474 -1.76779 1
1.55821 1.78201 1
-1.77591 1.70088 1
-0.1238 -0.972124 -1
0.348045 -1.32465 -1
0.338341 -0.0945814 1
1.2622 1.70427 1
0.10609 0.329 1
0.917591 -1.09906 1
-0.943313 0.534339 -1
0.152701 -1.9334 1
1.72607 -0.609816 1
-1.17714 0.0905147 -1
-0.396059 -0.771327 -1
0.719615 0.580536 -1
-0.226645 -0.923911 -1
0.812745 -0.668432 -1
-1.1419 1.03683 1
-0.967553 0.734296 -1
-1.93529 1.38049 1
1.40964 0.403051 1
-0.71409 0.671841 -1
0.107321 1.392 -1
-0.999159 -0.975088 -1
-1.70706 0.0575287 1
1.55925 0.445644 1
0.124131 1.28532 -1
1.83583 0.946988 1
-0.624162 -0.560231 -1
-1.82434 -1.90455 1
-1.9797 -0.0509833 1
-0.828458 0.83305 -1
1.28058 0.0296383 -1
-0.130116 -1.68697 1
-1.23607 -0.0654066 -1
1.69352 -1.82642 1
-1.66236 -1.02057 1
0.845419 0.444965 -1
-1.62857 1.84626 1
1.46988 -1.33562 1
-0.0962106 1.02913 -1
1.11002 -1.97208 1
0.31445 0.945848 -1
0.974908 1.69029 1
-1.61438 1.15057 1
1.78574 -1.59408 1
-0.900414 -1.04272 -1
1.23897 -1.61983 1
0.986921 -0.891145 -1
-1.3068 1.75086 1
1.04345 -1.61327 1
1.92443 1.38109 1
-0.633841 0.769854 -1
-0.173943 -0.262408 1
0.616115 -0.704067 -1
0.401969 -1.4801 1
-1.67494 -0.488011 1
-1.45218 0.63951 1
-1.54216 1.52273 1
0.329798 -1.15655 -1
0.673302 0.115539 1
-0.750626 1.77289 1
1.07282 -1.51165 1
-1.84694 0.0597439 1
-0.4028 -1.15374 -1
-0.189401 -1.35935 -1
-0.767013 -0.264966 -1
-1.97826 0.599146 1
-1.49511 -0.152204 1
-1.66326 1.121 1
1.14373 0.738707 -1
1.64091 1.46879 1
-1.7493 -1.81127 1
0.1083 -1.29147 -1
1.71146 -1.5619 1
-0.448015 0.384765 1
0.553638 0.801358 -1
0.157654 -0.37354 1
1.2897 0.310713 -1
1.6862 -1.1131 1
1.15697 -0.503197 -1
-0.472449 -1.61004 1
1.23184 -0.45071 -1
0.989109 1.73672 1
1.39709 1.32585 1
0.857727 0.540816 -1
0.0645542 0.498633 1
0.00960517 0.31525 1
0.687363 -1.8821 1
1.02378 0.398826 -1
-1.444 -1.42423 1
-1.21641 1.10964 1
1.37713 0.941245 1
-1.2639 0.666828 1
-0.748042 -1.57769 1
1.55373 -1.59107 1
-0.0808915 -0.918718 -1
-1.2011 -0.849054 1
0.630572 1.788 1
-1.11233 0.0276587 -1
1.11385 1.7454 1
-1.43153 -0.821595 1
0.24403 0.578079 1
1.49366 -1.06861 1
0.695984 0.517437 -1
1.33022 1.25199 1
1.0932 -1.88619 1
0.361629 0.470329 1
1.05506 1.09773 1
-0.862843 -1.69299 1
1.52003 -1.30911 1
-1.28405 -0.560857 -1
-0.227829 -0.485158 1
0.590089 -1.59726 1
-0.697154 1.47776 1
0.430401 -1.5833 1
1.22316 0.998876 1
-0.404898 -0.532815 1
-0.423045 -0.911243 -1
0.398578 -1.72706 1
1.60619 -0.271204 1
1.52493 0.699398 1
-0.157393 -0.113445 1
-0.830273 -1.10234 -1
-1.01572 0.306884 -1
-0.795325 -1.49568 1
0.997773 -0.079378 -1
-0.0565369 -1.23006 -1
1.43546 -1.46645 1
-0.827314 -1.26169 1
-1.98869 1.60309 1
-0.844994 1.23447 1
0.601963 0.750108 -1
-1.29835 -1.82108 1
1.83887 1.10023 1
-1.54814 1.44506 1
-1.17097 1.97678 1
0.144458 0.671633 1
-0.136661 1.31419 -1
1.5693 0.847624 1
-0.378931 -1.22603 -1
1.35194 -1.38116 1
0.694593 -0.704593 -1
-0.611215 0.130057 1
-0.171041 0.561471 1
0.868366 -0.15973 -1
0.164558 -1.97663 1
-0.925263 -1.23348 1
0.773481 -0.223611 -1
-1.05456 0.612347 -1
-1.12338 -0.602704 -1
0.0574067 -0.294354 1
-0.62592 -1.79813 1
-1.62272 1.23742 1
1.51605 1.94657 1
0.0850432 -0.86288 -1
-1.27945 -0.563013 -1
-0.244038 1.41514 1
0.732393 1.14475 -1
-0.454805 -1.43865 1
-0.293782 -1.58644 1
0.401622 1.87078 1
-1.56307 1.47636 1
-1.3627 1.21041 1
-0.747252 -0.417263 -1
-0.177238 0.129368 1
0.980033 1.88017 1
1.83501 -1.64589 1
-1.91797 -1.78771 1
1.59153 1.59808 1
-1.84113 -0.323424 1
-1.2648 -1.12059 1
1.11356 0.491165 -1
-1.70545 -0.154044 1
-0.364088 -0.160254 1
0.407308 1.34213 -1
0.253307 -1.19107 -1
1.21291 0.690241 -1
-1.71471 1.8502 1
-0.0993445 -0.461964 1
-0.567059 1.72342 1
1.6674 -1.58703 1
1.60359 1.50242 1
-1.23291 1.68562 1
1.71471 -1.64138 1
1.2837 1.87358 1
0.0351956 -1.98109 1
-1.24701 -0.851242 1
0.510071 -0.952456 -1
0.994714 -1.85402 1
0.88729 -0.597979 -1
1.48811 -0.859403 1
0.21095 0.70102 -1
1.83084 0.496238 1
0.551225 -0.268507 1
-1.96573 1.98417 1
-0.54509 1.70168 1
-1.60286 -0.941505 1
1.2041 -0.835772 1
-1.25589 0.918806 1
-0.477152 -1.97218 1
0.792385 1.55804 1
-1.95328 1.54538 1
-1.2932 0.556794 -1
-1.40708 1.70151 1
0.702778 1.48021 1
-0.896464 0.190891 -1
-1.37919 1.31449 1
-1.10809 -1.54836 1
-0.189275 1.44314 1
0.183138 -0.155001 1
1.4273 1.63805 1
-0.453323 1.82444 1
-1.30346 -1.24923 1
-1.01133 -0.559343 -1
1.66958 0.511519 1
-0.531526 0.461964 1
0.0695629 -0.484803 1
0.00734138 0.776364 -1
-1.92801 0.600262 1
0.477879 0.774768 -1
0.0804732 1.58141 1
-1.03434 0.701281 -1
0.895901 -0.142429 -1
1.15293 -1.29337 1
-0.699292 -0.663937 -1
0.551625 -1.27199 -1
-1.02589 -1.9017 1
-1.44755 -0.329346 1
-1.15093 -0.458874 -1
1.11131 -1.48135 1
-1.94735 -1.42022 1
0.980618 0.122209 -1
0.0949814 -1.01204 -1
-1.10143 0.166972 -1
1.58822 1.37645 1
-1.05826 -0.331306 -1
0.957867 -0.0926 -1
-1.63003 -0.146232 1
1.76497 1.5229 1
0.560394 -0.93432 -1
-1.14104 -0.887981 1
-0.206309 -0.166926 1
-0.789679 0.346146 -1
1.50373 0.0593953 1
1.88727 0.615039 1
0.578049 1.93992 1
1.19482 -0.441334 -1
0.0621274 -0.710195 -1
0.546625 0.9607 -1
1.45678 0.134847 1
0.337152 -1.60148 1
1.80354 -0.704981 1
0.305918 -1.82648 1
1.14879 0.070889 -1
1.69642 -0.290819 1
1.13657 -1.44462 1
0.8212 -1.06974 -1
0.388454 -1.96848 1
1.27641 -0.107818 -1
0.0909154 1.16368 -1
-1.49278 -1.33104 1
1.1036 1.70204 1
0.227631 -0.834275 -1
-1.00815 -1.22574 1
-1.87357 -1.55137 1
0.909103 0.463578 -1
-1.15286 0.712644 -1
1.7586 1.15306 1
0.88616 0.907385 -1
-0.77605 0.582576 -1
-1.38343 -1.63948 1
1.13796 1.43777 1
-0.709221 -0.47359 -1
1.46929 -1.43281 1
1.41859 -0.439798 1
1.73086 1.92581 1
0.229166 0.834462 -1
1.62786 -1.5432 1
-1.99981 -1.38029 1
-0.768947 -1.87339 1
-0.931667 -1.85984 1
0.590191 -0.0845236 1
0.8528 0.348788 -1
-0.931463 -0.26104 -1
-0.743827 0.292487 -1
-1.67846 -0.127262 1
0.653006 1.45949 1
-0.689496 1.94379 1
-1.0141 -1.22021 1
-1.48903 -1.59551 1
0.339992 -1.75816 1
-1.66969 -1.43084 1
1.0763 1.95817 1
-0.974046 1.07649 1
-1.42213 0.257007 1
1.2031 -0.353795 -1
0.397163 -0.206711 1
1.56168 -0.750038 1
-1.85792 -1.36978 1
0.988922 -0.60175 -1
0.922706 1.31046 1
1.27099 -0.424288 -1
0.769951 -1.41851 1
-0.480502 1.75585 1
-0.638718 0.0304685 1
-1.83965 1.70127 1
0.272304 -1.50934 1
-1.72957 -0.651398 1
-1.55118 -0.703615 1
-1.57491 -0.973307 1
1.55339 1.62819 1
0.672898 -0.0494449 1
-0.578525 0.234579 1
1.20052 -0.436448 -1
0.864798 0.18944 -1
0.961802 -0.212496 -1
-0.500102 0.23279 1
1.36322 -1.73015 1
0.814283 -1.11729 -1
-1.9743 -1.82443 1
0.913183 -1.81395 1
1.87684 -0.814513 1
-1.32329 -1.85273 1
0.534089 -0.874472 -1
-0.556344 0.959176 -1
0.152221 -1.00295 -1
0.587362 -1.17488 -1
0.947603 -1.99116 1
1.0597 0.148121 -1
-0.427611 -0.0755035 1
-1.66244 -1.46581 1
1.712 -0.162541 1
0.766981 1.07522 -1
0.107308 -0.418736 1
1.95793 0.13301 1
-0.243171 0.871114 -1
0.319061 -0.366332 1
-1.9434 0.995768 1
-0.219061 0.590689 1
-1.8787 1.22459 1
-0.450135 0.273518 1
-1.77836 -1.86277 1
1.09864 1.16925 1
